amfi_code,avg_daily_return,volatility,min_return,max_return,sharpe_ratio
120507,0.0002676525413793258,0.00031113570896708256,-0.0006658341331050588,0.0011972015097430067,0.8602437253759351
120844,0.0002561287499929851,0.0003233593463542916,-0.0007042787939615103,0.0012536722913947251,0.7920870476783909
101208,0.00024154628565905978,0.00031902540821652635,-0.0007660035078232985,0.0012472622638639574,0.7571380819145271
148567,0.001073675403449081,0.008941194822595979,-0.02945096992168761,0.03002489563329247,0.12008187101971134
120843,0.001081754914045031,0.010007860815167777,-0.029748087815623214,0.03355401228417154,0.10809052344188659
119551,0.0009167982325947294,0.008656289856377569,-0.02767955146934109,0.035096209280954804,0.10591122152861752
148569,0.0011240540293206527,0.011133577708427352,-0.03126636499133917,0.039175675444784286,0.10096072069177019
118632,0.0008652259973214283,0.008912624198545506,-0.0284902628676873,0.028217948101607604,0.09707870297758417
120505,0.0011613203372383767,0.012152155877011198,-0.0384182138086695,0.040812044430152294,0.09556496386252754
149323,0.0010551910655344048,0.011179029641055074,-0.030092245837959664,0.04199461580543096,0.09439021985049645
